Time,Temp_C,Voltage_V,Resistance_Ohm
1769430200.0,65.90,0.531004,1898.0
1769430200.0,65.60,0.539786,1935.6
1769430200.0,65.50,0.538189,1928.7
1769430200.0,65.30,0.537391,1925.3
1769430200.0,65.10,0.537391,1925.3
1769430200.0,64.90,0.537391,1925.3
1769430200.0,64.70,0.537391,1925.3
1769430200.0,64.50,0.537391,1925.3
1769430200.0,64.30,0.538189,1928.7
1769430200.0,64.10,0.538189,1928.7
1769430200.0,63.80,0.538987,1932.1
1769430200.0,63.60,0.533399,1908.2
1769430200.0,63.40,0.538189,1928.7
1769430200.0,63.20,0.540584,1939.0
1769430200.0,62.90,0.538189,1928.7
1769430200.0,62.80,0.538987,1932.1
1769430200.0,62.60,0.542979,1949.3
1769430200.0,62.50,0.539786,1935.6
1769430200.0,62.30,0.540584,1939.0
1769430200.0,62.10,0.539786,1935.6
1769430200.0,61.90,0.539786,1935.6
1769430200.0,61.70,0.539786,1935.6
1769430200.0,61.50,0.539786,1935.6
1769430200.0,61.30,0.540584,1939.0
1769430200.0,61.00,0.540584,1939.0
1769430200.0,60.90,0.544576,1956.2
1769430200.0,60.70,0.534197,1911.6
1769430200.0,60.50,0.546173,1963.1
1769430200.0,60.30,0.538987,1932.1
1769430200.0,60.10,0.545374,1959.6
1769430200.0,60.00,0.541382,1942.4
1769430200.0,59.80,0.542181,1945.9
1769430200.0,59.70,0.541382,1942.4
1769430200.0,59.50,0.546173,1963.1
1769430200.0,59.30,0.542979,1949.3
1769430200.0,59.20,0.542979,1949.3
1769430200.0,59.00,0.543778,1952.7
1769430200.0,58.90,0.543778,1952.7
1769430200.0,58.70,0.543778,1952.7
1769430200.0,58.60,0.542979,1949.3
1769430200.0,58.40,0.542979,1949.3
1769430200.0,58.20,0.543778,1952.7
1769430200.0,58.10,0.543778,1952.7
1769430200.0,57.90,0.543778,1952.7
1769430200.0,57.80,0.537391,1925.3
1769430200.0,57.60,0.544576,1956.2
1769430240.0,57.50,0.544576,1956.2
1769430240.0,57.30,0.545374,1959.6
1769430240.0,57.20,0.545374,1959.6
1769430240.0,57.10,0.545374,1959.6
1769430240.0,56.90,0.546971,1966.5
1769430240.0,56.80,0.546971,1966.5
1769430240.0,56.70,0.549366,1976.9
1769430240.0,56.50,0.546173,1963.1
1769430240.0,56.40,0.546173,1963.1
1769430240.0,56.30,0.546173,1963.1
1769430240.0,56.10,0.545374,1959.6
1769430240.0,56.00,0.546173,1963.1
1769430240.0,55.90,0.546173,1963.1
1769430240.0,55.80,0.546173,1963.1
1769430240.0,55.70,0.546173,1963.1
1769430240.0,55.60,0.546173,1963.1
1769430240.0,55.40,0.546971,1966.5
1769430240.0,55.30,0.543778,1952.7
1769430240.0,55.20,0.546971,1966.5
1769430240.0,55.20,0.547769,1970.0
1769430240.0,55.00,0.546971,1966.5
1769430240.0,54.90,0.546971,1966.5
1769430240.0,54.80,0.547769,1970.0
1769430240.0,54.70,0.547769,1970.0
1769430240.0,54.60,0.547769,1970.0
1769430240.0,54.50,0.546971,1966.5
1769430240.0,54.40,0.548568,1973.4
1769430240.0,54.30,0.546971,1966.5
1769430240.0,54.20,0.550963,1983.8
1769430240.0,54.10,0.551761,1987.2
1769430240.0,54.00,0.548568,1973.4
1769430240.0,53.90,0.548568,1973.4
1769430240.0,53.80,0.547769,1970.0
1769430240.0,53.70,0.548568,1973.4
1769430240.0,53.60,0.549366,1976.9
1769430240.0,53.50,0.549366,1976.9
1769430240.0,53.50,0.550164,1980.3
1769430240.0,53.40,0.549366,1976.9
1769430240.0,53.30,0.549366,1976.9
1769430240.0,53.20,0.551761,1987.2
1769430240.0,53.00,0.538189,1928.7
1769430240.0,52.90,0.550164,1980.3
1769430240.0,52.80,0.550164,1980.3
1769430240.0,52.70,0.550164,1980.3
1769430240.0,52.70,0.550164,1980.3
1769430240.0,52.60,0.550963,1983.8
1769430240.0,52.50,0.550164,1980.3
1769430240.0,52.40,0.550963,1983.8
1769430240.0,52.30,0.553358,1994.1
1769430240.0,52.20,0.550164,1980.3
1769430240.0,52.20,0.550164,1980.3
1769430240.0,52.10,0.557350,2011.5
1769430240.0,52.00,0.550963,1983.8
1769430240.0,51.90,0.550164,1980.3
1769430240.0,51.90,0.550963,1983.8
1769430240.0,51.80,0.550164,1980.3
1769430240.0,51.70,0.551761,1987.2
1769430240.0,51.60,0.550963,1983.8
1769430240.0,51.50,0.551761,1987.2
1769430240.0,51.40,0.551761,1987.2
1769430240.0,51.40,0.551761,1987.2
1769430240.0,51.30,0.551761,1987.2
1769430240.0,51.20,0.545374,1959.6
1769430240.0,51.10,0.551761,1987.2
1769430240.0,51.10,0.562140,2032.4
1769430240.0,51.00,0.551761,1987.2
1769430240.0,50.90,0.562938,2035.8
1769430240.0,50.80,0.552559,1990.7
1769430240.0,50.80,0.552559,1990.7
1769430240.0,50.70,0.552559,1990.7
1769430240.0,50.60,0.552559,1990.7
1769430240.0,50.60,0.552559,1990.7
1769430240.0,50.50,0.552559,1990.7
1769430240.0,50.40,0.552559,1990.7
1769430240.0,50.40,0.553358,1994.1
1769430240.0,50.30,0.553358,1994.1
1769430240.0,50.20,0.552559,1990.7
1769430240.0,50.10,0.553358,1994.1
1769430240.0,50.10,0.552559,1990.7
1769430240.0,50.00,0.552559,1990.7
1769430240.0,50.00,0.553358,1994.1
1769430240.0,49.90,0.553358,1994.1
1769430240.0,49.80,0.552559,1990.7
1769430240.0,49.80,0.546971,1966.5
1769430240.0,49.70,0.556551,2008.0
1769430240.0,49.60,0.553358,1994.1
1769430240.0,49.60,0.553358,1994.1
1769430240.0,49.60,0.554156,1997.6
1769430240.0,49.50,0.553358,1994.1
1769430240.0,49.40,0.554156,1997.6
1769430240.0,49.40,0.553358,1994.1
1769430240.0,49.30,0.557350,2011.5
1769430240.0,49.30,0.554156,1997.6
1769430240.0,49.20,0.549366,1976.9
1769430240.0,49.20,0.552559,1990.7
1769430240.0,49.10,0.555753,2004.5
1769430240.0,49.10,0.554156,1997.6
1769430240.0,49.10,0.554954,2001.1
1769430240.0,49.00,0.554156,1997.6
1769430240.0,49.00,0.555753,2004.5
1769430240.0,48.90,0.555753,2004.5
1769430240.0,48.80,0.547769,1970.0
1769430400.0,48.80,0.554156,1997.6
1769430400.0,48.80,0.557350,2011.5
1769430400.0,48.70,0.555753,2004.5
1769430400.0,48.70,0.555753,2004.5
1769430400.0,48.60,0.555753,2004.5
1769430400.0,48.60,0.556551,2008.0
1769430400.0,48.50,0.554156,1997.6
1769430400.0,48.50,0.555753,2004.5
1769430400.0,48.50,0.555753,2004.5
1769430400.0,48.40,0.555753,2004.5
1769430400.0,48.30,0.555753,2004.5
1769430400.0,48.30,0.555753,2004.5
1769430400.0,48.30,0.562938,2035.8
1769430400.0,48.20,0.556551,2008.0
1769430400.0,48.20,0.556551,2008.0
1769430400.0,48.10,0.556551,2008.0
1769430400.0,48.10,0.556551,2008.0
1769430400.0,48.00,0.556551,2008.0
1769430400.0,48.00,0.556551,2008.0
1769430400.0,47.90,0.556551,2008.0
1769430400.0,47.90,0.557350,2011.5
1769430400.0,47.80,0.556551,2008.0
1769430400.0,47.80,0.557350,2011.5
1769430400.0,47.70,0.581300,2116.6
1769430400.0,47.70,0.556551,2008.0
1769430400.0,47.70,0.556551,2008.0
1769430400.0,47.60,0.557350,2011.5
1769430400.0,47.60,0.557350,2011.5
1769430400.0,47.60,0.557350,2011.5
1769430400.0,47.50,0.557350,2011.5
1769430400.0,47.50,0.556551,2008.0
1769430400.0,47.50,0.557350,2011.5
1769430400.0,47.40,0.557350,2011.5
1769430400.0,47.40,0.558148,2015.0
1769430400.0,47.30,0.557350,2011.5
1769430400.0,47.30,0.558148,2015.0
1769430400.0,47.30,0.549366,1976.9
1769430400.0,47.30,0.557350,2011.5
1769430400.0,47.20,0.557350,2011.5
1769430400.0,47.10,0.557350,2011.5
1769430400.0,47.10,0.559745,2021.9
1769430400.0,47.10,0.549366,1976.9
1769430400.0,47.00,0.557350,2011.5
1769430400.0,47.00,0.558148,2015.0
1769430400.0,47.00,0.558148,2015.0
1769430400.0,46.90,0.554156,1997.6
1769430400.0,46.80,0.558148,2015.0
1769430400.0,46.80,0.558946,2018.4
1769430400.0,46.80,0.562140,2032.4
1769430400.0,46.80,0.558946,2018.4
1769430400.0,46.70,0.558148,2015.0
1769430400.0,46.70,0.559745,2021.9
1769430400.0,46.60,0.558148,2015.0
1769430400.0,46.60,0.558946,2018.4
1769430400.0,46.60,0.558148,2015.0
1769430400.0,46.60,0.559745,2021.9
1769430400.0,46.50,0.558148,2015.0
1769430400.0,46.50,0.559745,2021.9
1769430400.0,46.40,0.558946,2018.4
1769430400.0,46.40,0.559745,2021.9
1769430400.0,46.40,0.558946,2018.4
1769430400.0,46.30,0.554954,2001.1
1769430400.0,46.30,0.558946,2018.4
1769430400.0,46.20,0.558946,2018.4
1769430400.0,46.20,0.558946,2018.4
1769430400.0,46.20,0.559745,2021.9
1769430400.0,46.20,0.558946,2018.4
1769430400.0,46.10,0.569325,2063.8
1769430400.0,46.10,0.559745,2021.9
1769430400.0,46.10,0.562140,2032.4
1769430400.0,46.00,0.563736,2039.3
1769430400.0,46.00,0.558946,2018.4
1769430400.0,46.00,0.558946,2018.4
1769430400.0,45.90,0.559745,2021.9
1769430400.0,45.90,0.561341,2028.9
1769430400.0,45.80,0.559745,2021.9
1769430400.0,45.80,0.559745,2021.9
1769430400.0,45.80,0.559745,2021.9
1769430400.0,45.70,0.558946,2018.4
1769430400.0,45.70,0.559745,2021.9
1769430400.0,45.60,0.559745,2021.9
1769430400.0,45.60,0.560543,2025.4
1769430400.0,45.60,0.559745,2021.9
1769430400.0,45.60,0.560543,2025.4
1769430400.0,45.50,0.560543,2025.4
1769430400.0,45.50,0.562938,2035.8
1769430400.0,45.40,0.560543,2025.4
1769430400.0,45.40,0.564535,2042.8
1769430400.0,45.40,0.560543,2025.4
